Article Title ,Author(s),Contact Info.,Year Published,Institution ,# of publications used,Olivia (Article Link),Qual. Score method,QualSyst number
The Effect of Different Electric Toothbrush Technologies on Interdental Plaque Removal: A Systematic Review with a Meta-Analysis,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.3390/healthcare12101035,,
No additional risk of congenital anomalies after first-trimester dydrogesterone use: a systematic review and meta-analysis.,,,,,,https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/38784056,,
Effects of movement training based on rhythmic auditory stimulation in cognitive impairment: a meta-analysis of randomized controlled clinical trial.,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fnins.2024.1360935,,
The effectiveness of a wearable activity tracker (WAT)-based intervention to improve physical activity levels in sedentary older adults: A systematic review and meta-analysis,,,,,,https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/33932825,,
Stem cell transplantation for spinal cord injury: a meta-analysis of treatment effectiveness and safety,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.4103/1673-5374.206653,,
Technology-enhanced simulation in emergency medicine: Updated systematic review and meta-analysis,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1002/aet2.10848,,
Comparison of the Joel-Cohen-based technique and the transverse Pfannenstiel for caesarean section for safety and effectiveness: A systematic review and meta-analysis,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.14196/mjiri.31.54,,
 How does problem-solving pedagogy affect creativity? A meta-analysis of empirical studies.,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fpsyg.2024.1287082,,
Robotic-Assisted Versus Fluoroscopic-Guided Surgery on the Accuracy of Spine Pedicle Screw Placement: A Systematic Review and Meta-Analysis.,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.7759/cureus.54969,,
Systematic review and meta-analysis of the diagnostic value of optokinetic after-nystagmus in vestibular disorders,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fneur.2024.1367735,,
,,,,,,,,
,,,,,,Gigi,,
Meta-analysis of targeted temperature management in animal models of cardiac arrest.,"Hilmer Olai, Gustav Thornéus, Hannah Watson, Malcolm Macleod, Jonathan Rhodes, Hans Friberg, Niklas Nielsen, Tobias Cronberg, Tomas Deierborg","tomas.
deierborg@med.lu.se",2020,"Department of Experimental Medical Science, Experimental Neuroinflammation Laboratory, Lund University, Lund, Sweden; Department of Anaesthesia, Western General Hospital, NHS Lothian, Edinburgh, UK; Department of Critical Care, Western General Hospital, NHS Lothian, Edinburgh, UK; Centre for Clinical Brain Sciences, University of Edinburgh, Edinburgh, UK; Department of Anaesthesia, Critical care and Pain Medicine/NHS Lothian, University of
Edinburgh, Edinburgh, UK; Department of Clinical Sciences, Anesthesia & Intensive care, Skåne University Hospital, Lund University, Lund, Sweden; Department of Clinical Sciences Lund, Anesthesia & Intensive care, Helsingborg Hospital, Lund University, Lund, Sweden; Department of Clinical Sciences Lund, Neurology, Skåne University Hospital, Lund University, Lund, Sweden.",181,https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s40635-019-0291-9,Other,CAMARADES quality checklist
Navigated Versus Conventional Total Knee Arthroplasty: A Systematic Review and Meta-analysis of Prospective Randomized Controlled Trials. [Review],"Gerard A. Sheridan, Mohammed Abdelmalek, Lisa C. Howard, Michael E. Neufeld, Bassam A. Masri, Donald S. Garbuz"," sheridga@tcd.ie, mamalek@student.ubc.ca, lchoward25@gmail.com, michaelneufeld14@
gmail.com, Bassam.Masri@vch.ca, Donald.Garbuz@vch.ca",2024,"University of British Columbia, Vancouver, BC, Canada",17,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.jor.2023.11.070,NONE,No quality assessment metric mentioned
Comparison of clinical efficacy of robot-assisted and freehand core decompression in the treatment of osteonecrosis of the femoral head: a systematic review and meta-analysis.,"Wensi Ouyang, Guimei Guo, Tianpei Jiang, Changwei Zhao, Xiaoling Zhou","zcw_1980@126.com, zlx19800110@163.com",2024,"Changchun University of Chinese Medicine, Changchun 130117, China 2 Hospital Affiliated to Changchun University of Traditional Chinese Medicine, Changchun 130021, China",7,https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s12891-024-07592-x,GRADE,
Do Exercise-Based Prevention Programs Reduce Injury in Endurance Runners? A Systematic Review and Meta-Analysis. [Review],"Han Wu, Katherine Brooke-Wavell, Daniel T. P. Fong, Max R. Paquette, Richard C. Blagrove",R.C.Blagrove@lboro.ac.uk,2024,"National Centre for Sport and Exercise Medicine, School
of Sport, Exercise and Health Sciences, Loughborough
University, Loughborough, UK; College of Health Sciences, University of Memphis,
Memphis, TN, USA",9,https://dx-doi-org.myaccess.library.utoronto.ca/10.1007/s40279-024-01993-7,Cochrane,
The New Era of Spinal Surgery: Exploring the Use of Exoscopes as a Viable Alternative to Operative Microscopes-A Systematic Review and Meta-Analysis. [Review],"Emir Begagić, Ragib Pugonja, Hakija Bečulić, Edin Selimović, Rasim Skomorac, Benjamin Saß, Mirza Pojskić",begagicem@gmail.com; emir.begagic@dl.unze.ba,2024,"Department of General Medicine, School of Medicine, University of Zenica, Zenica, Bosnia and Herzegovina; Department of Anatomy, School of Medicine, University of Zenica, Zenica, Bosnia and Herzegovina; Department of Neurosurgery, Canton Hospital Zenica, Zenica, Bosnia and Herzegovina; Department of Surgery, School of Medicine, University of Zenica, Zenica, Bosnia and
Herzegovina; Clinic of Neurosurgery, University of Marburg, Marburg, Germany",37,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.wneu.2023.11.026,Other,Newcastle-Ottawa Scale
Effects of virtual reality OSCE on nursing students' education: a study protocol for systematic review and meta-analysis.,"Ping Liu, Xuan Dong, Fei Liu, Haixia Fu",18626469889@163.com,2024,"Affiliated Hospital of Nanjing University of Chinese Medicine, Nanjing, Jiangsu, China; Jiangsu Province Hospital, Nanjing, Jiangsu, China",N/A,https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/bmjopen-2023-082847,GRADE,This is a study protocol for a systematic review and meta-analysis; they did not perform an actual systematic review or meta-analysis
Efficacy and Safety of Pentoxifylline for Venous Leg Ulcers: An Updated Meta-Analysis.,"Shi-Yi Sun, Yan Li, Yun-Yi Gao, Xing-Wu Ran",ranxingwu@163.com,2021,"Innovation Center for Wound Repair, Diabetic Foot CareCenter, Department of Endocrinology and Metabolism, West China Hospital, Sichuan University, 37 Guoxue Lane, Chengdu 610041, Sichuan, People’s Republic of China.",13,https://dx-doi-org.myaccess.library.utoronto.ca/10.1177/15347346211050769,Cochrane,
The effect of early weight-bearing and later weight-bearing rehabilitation interventions on outcomes after ankle fracture surgery: A systematic review and meta-analysis of randomised controlled trials. [Review],"Bocheng Chen, Ziyan Ye, Jiaxin Wu, Guoxiang Wang, Tiancheng Yu",gxwang2023@126.com; andytc3377559@163.com,2024,"Physical Education and Sports School of Soochow University, Soochow University, Suzhou, Jiangsu Province, China",11,https://dx-doi-org.myaccess.library.utoronto.ca/10.1002/jfa2.12011,Cochrane,
Physician-modified versus chimney endografting for pararenal aortic aneurysms: a systematic review and meta-analysis.,"Georgios I. Karaolanis, Dimitrios D. Papazoglou, Konstantinos P. Donas, Fabrice Helfenstein, Drosos Kotelis, Vladimir Makaloski",N/A,2024,"Department of Vascular Surgery, Inselspital, Bern University Hospital, University of Bern, Bern, Switzerland; Vascular Unit, Department of Surgery, University Hospital of Ioannina and School of Medicine, Ioannina, Greece; Rhein Main Vascular Center, Department of Vascular and Endovascular Surgery, Asklepios Clinics Langen, Wiesbaden, Seligenstadt, Germany; Clinical Trials Unit, University of Bern, Bern, Switzerland",16,https://dx-doi-org.myaccess.library.utoronto.ca/10.23736/S0021-9509.24.12995-3,,No full text (paywall)
Risk factors for childhood brain tumours: A systematic review and meta-analysis of observational studies from 1976 to 2022. [Review],"Felix M. Onyije, Roya Dolatkhah, Ann Olsson, Liacine Bouaoun, Isabelle Deltour, Friederike Erdmann, Audrey Bonaventure, Michael E. Scheurer, Jacqueline Clavel, Joachim Schüz",onyijef@iarc.who.int,2024,"Environment and Lifestyle Epidemiology Branch, International Agency for Research on Cancer (IARC/WHO), 25 avenue Tony Garnier, CS 90627, 69366 LYON CEDEX 07, France; Research Group Aetiology and Inequalities in Childhood Cancer, Division of Childhood Cancer Epidemiology Institute of Medical Biostatistics, Epidemiology, and Informatics (IMBEI), University Medical Center Mainz, Langenbeckstraβe 1, 55131 Mainz, Germany; Epidemiology of Childhood and Adolescent Cancers Team, Universite Paris Cite and Universite Sorbonne Paris Nord, Inserm, INRAE, Center for Research in Epidemiology and StatisticS (CRESS), Villejuif, France; Department of Pediatrics, Hematology-Oncology, Baylor College of Medicine and Texas Children’s Hospital Cancer Center, Houston, TX, United States; National Registry of Childhood Cancers, Hopital Paul Brousse, Groupe Hospitalier Universitaire Paris-Sud, Assistance Publique Hopitaux de Paris (AP-HP), Villejuif, France; Centre Hospitalier Regional Universitaire de Nancy, Vandoeuvre-les-Nancy, France",181,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.canep.2023.102510,Other,Joanna Briggs Institute critical appraisal (JBI) tools for case-control and cohort studies
Meta-analysis of risk factors for posttraumatic stress disorder in myocardial infarction.,"Jingyu Liu, Lingyu Wang, Yimu Wang, Haiyan Fang, Xiang Wang",17368852387@163.com,2024,"College of Nursing, Anhui University of Chinese Medicine, Hefei, China",10,https://dx-doi-org.myaccess.library.utoronto.ca/10.1097/MD.0000000000036601,Other,Newcastle-Ottawa Quality Assessment Scale
[ARTICLE HAS BEEN RETRACTED] Effect of platelet-rich plasma combined with negative pressure wound therapy in treating patients with chronic wounds: A meta-analysis.,"Hao Chen, Tong-Jie Xu, Hao Yu, Jun-Long Zhu, Yong Liu, Lu-Pin Yang",luzyanglp646@sina.com,2024,"Department of Vascular Surgery, Affiliated Hospital of Southwest Medical University, Luzhou, China; Department of Interventional Medicine, Affiliated Hospital of Southwest Medical University, Luzhou, China",18,https://dx-doi-org.myaccess.library.utoronto.ca/10.1111/iwj.14758,Cochrane,
"Etrolizumab as induction and maintenance therapy in patients with moderately to severely active ulcerative colitis: a protocol of systematic review and meta-analysis of placebo-controlled, randomised clinical trials.","Xuan Qin, Menghui Wang, Wei Zhang, Wenji Liu, Hongxin Shu, Xiaowei Xiong",xiongxw0311@hotmail.com; shuhongxin@hotmail.com,2024,"Department of Vascular Surgery, The First Hospital of Nanchang, Nanchang, China; Huan kui College of Nanchang University, Nanchang, China; Department of Neurosurgery, the 2st affiliated hospital, Jiangxi Medical College, Nanchang University, Nanchang, China",N/A,https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/bmjopen-2023-076570,"GRADE, Cochrane",This is a study protocol for a systematic review and meta-analysis; they did not perform an actual systematic review or meta-analysis
Surrogate endpoints for overall survival in randomized clinical trials testing immune checkpoint inhibitors: a systematic review and meta-analysis.,"Isabella Sala, Eleonora Pagan, Laura Pala, Chiara Oriecuia, Marco Musca, Claudia Specchia, Tommaso De Pas, Javier Cortes, Giuseppe Giaccone, Michael Postow, Richard D. Gelber, Vincenzo Bagnardi, Fabio Conforti",vincenzo.bagnardi@unimib.it,2024,"Department of Statistics and Quantitative Methods, University of Milan-Bicocca, Milan, Italy; Department of Medicine and Surgery, University of Milan-Bicocca, Milan, Italy; Department of Medical Oncology, Humanitas Gavazzeni, Bergamo, Italy; Department of Clinical and Experimental
Sciences, University of Brescia, Brescia, Italy; Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy; Methodology for Clinical Research Laboratory, Istituto di Ricerche Farmacologiche Mario Negri Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS), Milan, Italy; International Breast Cancer Center, Pangaea Oncology, Quiron Group, Madrid, Spain; International Breast Cancer Center, Pangaea Oncology, Quiron Group, Barcelona, Spain; Faculty of Biomedical and Health Sciences, Department of Medicine, Universidad Europea de Madrid, Madrid, Spain; Meyer Cancer Center, Weill Cornel Medicine, New York, NY, United States; Department of Medicine, Memorial Sloan Kettering Cancer Center and Weill Cornell Medical College, New York, NY, United States; Department of Data Science, Dana-Farber Cancer Institute, Harvard Medical School, Harvard Tseng-Hsi (T.H.) Chan School of Public Health, and Frontier Science and Technology Research
Foundation, Boston, MA, United States; University of Milan, Milan, Italy",61,https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fimmu.2024.1340979,Cochrane,
Economic Evaluations Comparing Deep Brain Stimulation to Best Medical Therapy for Movement Disorders: A Meta-Analysis.,"Melissa Lannon, Taylor Duda, Alexander Mastrolonardo, Ellissa Huang, Amanda Martyniuk, Forough Farrokhyar, Feng Xie, Mohit Bhandari, Suneil K. Kalia, Sunjay Sharma",melissa.lannon@medportal.ca,2024,"Division of Neurosurgery, McMaster University, 237 Barton Street East, Hamilton, ON, Canada; Michael G. DeGroote School of Medicine, McMaster University, Hamilton, ON, Canada; Department of Health, Evidence, Impact, McMaster University, Hamilton, ON, Canada; Division of Orthopaedic Surgery, McMaster University, Hamilton, ON, Canada; Division of Neurosurgery, University of Toronto, Toronto, ON, Canada",14,https://dx-doi-org.myaccess.library.utoronto.ca/10.1007/s40273-023-01318-y,Other,Consensus on Health Economics Criteria Checklist (CHEC)-extended checklist
Systematic review and meta-analysis on the effect of adjuvant gonadotropin-releasing hormone agonist (GnRH-a) on pregnancy outcomes in women with endometriosis following conservative surgery.,"Xuemei Qing, Lele He, Ying Ma, Yong Zhang, Wenxin Zheng",lizza2222@126.com; 13808110138@163.com,2024,"Department of Obstetrics and Gynecology, Southwest Medical University, Luzhou, Sichuan 646000, China; Department of Obstetrics and Gynecology, Qingbaijiang District People’s Hospital, Chengdu, Sichuan 610300, China; Department of Obstetrics and Gynecology, Mianyang Central Hospital, Mianyang, Sichuan 621000, China; Department of Obstetrics and Gynecology, Chongzhou Maternal and Child Health Care Hospital, Chengdu, Sichuan 611200, China; Department of Obstetrics and Gynecology, Chengdu Medical College, Chengdu, Sichuan 610500, China; Department of Obstetrics and Gynecology, Department of Pathology, Harold C Simmons Comprehensive Cancer Center, University of Texas Southwestern Medical Center, Dallas, TX 75390, USA",17,https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s12884-024-06430-1,"Cochrane, Other",Other: Jadad
Reference Ranges for Left Modified Myocardial Performance Index: Systematic Review and Meta-Analysis.,"Katherine H. Bligard, Michelle Doering, Shay Porat, Joshua I. Rosenbloom",khsmith@wustl.edu; joshuar@hadassah.org.il,2024,"Department of Obstetrics and Gynecology, Washington University in St. Louis School of Medicine, St. Louis, MO, USA; Bernard Becker Medical Library, Washington University in St. Louis School of Medicine, St. Louis, MO, USA; Department of Obstetrics and Gynecology, Hadassah Medical Organization and Faculty of Medicine, Hebrew University of Jerusalem, Jerusalem, Israel",6,https://dx-doi-org.myaccess.library.utoronto.ca/10.1159/000535602,Other,Authors used their own method to assess the quality of articles; see Supplementary Table 1
Unlocking the Potential of Repetitive Transcranial Magnetic Stimulation in Alzheimer's Disease: A Meta-Analysis of Randomized Clinical Trials to Optimize Intervention Strategies.,"Sha Li, Xiaoyong Lan, Yumei Liu, Junhong Zhou, Zian Pei, Xiaolin Su, Yi Guo",Tel.: + 86 0755 22949236; E-mail: xuanyi guo@163.com,2024,"Institute of Neurological and Psychiatric Diseases, Shenzhen Bay Laboratory, Shenzhen, Guangdong, China; Department of Neurology, Shenzhen People’s Hospital (The First Afﬁliated Hospital of Southern University of Science and Technology, The Second Clinical Medical College of Jinan University), Shenzhen, Guangdong,China; Hebrew Seniorlife Hinda and Arthur Marcus Institute for Aging Research, Harvard Medical School, Boston, MA, USA",16,https://dx-doi-org.myaccess.library.utoronto.ca/10.3233/JAD-231031,Cochrane,
Meta-analysis of selenium effects on the meat quality of broilers.,"Chunbo Wei, Shuo Wang, Cuiping Wang, Yuming Zhao, Ying Zhang",weichunbo@byau.edu.cn,2024,"Key Laboratory of Low-carbon Green Agriculture in Northeastern China; Ministry of Agriculture and Rural Affairs P. R. China; Department of Animal Science, College of Animal Science and Veterinary Medicine, Heilongjiang Bayi Agricultural University, Daqing 163316, China",20,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.psj.2024.103523,NONE,
A Controversial Old Topic Revisited: Should Diagnostic Hysteroscopy Be Routinely Performed Prior to the First IVF Cycle? A Systematic Review and Updated Meta-analysis.,"Anusch Yazdani, Ben Kroon, Devini Ameratunga",ayazdani@evehealth.com.au,2023,"University of Queensland, Brisbane, Queensland, Australia; Eve Health (Kroon), Brisbane, Queensland, Australia; Royal Brisbane Hospital (Ameratunga), Brisbane, Queensland, Australia",N/A,https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/37839782,NONE,This is an editorial regarding a systematic review and meta-analysis
,,,,,,,,
,,,,,,Cenarit ,,
Parental Reminder Strategies and the Cost Implication for Improved Immunisation Outcomes: A Systematic Review and Meta-Analysis.,"Hamina Dathini,Siti Khuzaimah Ahmad Sharoni, Kever Teriyla Robert ",sitik123@uitm.edu.my,2022,"
Centre for Nursing Studies, Faculty of Health Sciences, Universiti Teknologi MARA, UiTM Selangor, Puncak Alam Campus, Selangor 42300, Malaysia
Department of Nursing Science, Faculty of Allied Health, University of Maiduguri, Maiduguri 600104, Nigeria",24,https://www.mdpi.com/2227-9032/10/10/1996,Other,
,,,,,,"Article title: Efficacy of electroacupuncture on myocardial protection and postoperative rehabilitation in patients undergoing cardiac surgery with cardiopulmonary bypass: a systematic review and Meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.19852/j.cnki.jtcm.20230904.003""",,
,,,,,,"Article title: Evidence of the acupuncture points stimulation for the treatment of hypogalactia: A systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.enfcle.2024.01.002""",,
,,,,,,"Article title: Iliac crest bone graft versus cell-based grafts to augment spinal fusion: a systematic review and meta-analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1007/s00586-023-07941-9""",,
,,,,,,"Article title: The effectiveness of nursing interventions for elderly dementia patients based on virtual reality technology: A systematic review and meta-analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.arr.2023.102135""",,
,,,,,,"Article title: The epidemiology and effects of video game addiction: A systematic review and meta-analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.actpsy.2023.104047""",,
,,,,,,"Article title: Topical Traditional Chinese Medicines for Cancer Pain: A Systematic Review and Meta-analysis of Randomized Controlled Trials. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1177/15347354231210870""",,
,,,,,,"Article title: Short-term clinical efficacy and safety of unilateral biportal endoscopic transforaminal lumbar interbody fusion versus minimally invasive transforaminal lumbar interbody fusion in the treatment of lumbar degenerative diseases: a systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s13018-023-04138-0""",,
,,,,,,"Article title: The effect of personalized intelligent digital systems for self-care training on type II diabetes: a systematic review and meta-analysis of clinical trials. [Review]: ""https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/37710134""",,
,,,,,,"Article title: Effects of virtual reality for psychological health of ICU patients: a study protocol for systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/bmjopen-2023-073660""",,
,,,,,,"Article title: Comparison of Cannulated Screw Combined with Medial Femoral Plate and Simple Cannulated Screw in the Treatment of Pauwels Type III Femoral Neck Fracture: A Meta-analysis with Trial Sequential Analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.29271/jcpsp.2023.07.792""",,
